ISO Codes,Title
ISO 7429-1:2024,Fine bubble technology — Industrial and consumer device applications — Part 1: Assessment of water pressure driven nozzles by evaluating size and concentration indices of generated fine bubbles
ISO 20304-1:2020,Fine bubble technology — Water treatment applications — Part 1: Test method for evaluating ozone fine bubble water generating systems by the decolorization of methylene blue
ISO 20304-2:2024,Fine bubble technology — Water treatment applications — Part 2: Test methods using Escherichia coli as a test micro-organism
ISO 20480-1:2017/Amd 1:2024,Fine bubble technology — General principles for usage and measurement of fine bubbles — Part 1: Terminology — Amendment 1
ISO 20480-3:2021,Fine bubble technology — General principles for usage and measurement of fine bubbles — Part 3: Methods for generating fine bubbles
ISO 20480-4:2021,Fine bubble technology — General principles for usage and measurement of fine bubbles — Part 4: Terminology related to microbubble beds
ISO 20480-5:2023,Fine bubble technology — General principles for usage and measurement of fine bubbles — Part 5: Shelled bubble vocabulary
ISO 21256-3:2021,Fine bubble technology — Cleaning applications — Part 3: Test method for cleaning hard flooring surfaces
ISO 21910-2:2025,Fine bubble technology — Characterization of microbubbles — Part 2: In-situ dynamic image analysis method
ISO 23016-4:2023,Fine bubble technology — Agricultural applications — Part 4: Test method for evaluating the number concentration of ultrafine bubbles (UFB) achieving the promotion of barley seed germination
ISO 24218-1:2023,Fine bubble technology — Characterization of fine bubbles — Part 1: Evaluation of size and concentration indices by laser diffraction method
ISO 24261-1:2020,Fine bubble technology — Elimination method for sample characterization — Part 1: Evaluation procedure
ISO 24261-2:2021,Fine bubble technology — Elimination method for sample characterization — Part 2: Fine bubble elimination techniques
ISO 2533:1975/Add 1:1985,Standard Atmosphere — Addendum 1: Hypsometrical tables
ISO 2533:1975/Add 2:1997,Standard Atmosphere — Addendum 2: Extension to - 5000 m and standard atmosphere as a function of altitude in feet
ISO 15927-5:2004/Amd 1:2011,Hygrothermal performance of buildings — Calculation and presentation of climatic data — Part 5: Data for design heat load for space heating — Amendment 1
ISO 16457:2022,Space environment (natural and artificial) — The Earth's ionosphere model — International reference ionosphere (IRI) model and extensions to the plasmasphere
ISO 17717:2024,Meteorological balloons — Specification
ISO 23032:2022,Meteorology — Ground-based remote sensing of wind — Radar wind profiler
ISO 23435:2022,Air quality — Test methods for snow depth sensors
ISO 5058-1:2021,Biotechnology — Genome editing — Part 1: Vocabulary
ISO 5058-1:2021/Amd 1:2022,Biotechnology — Genome editing — Part 1: Vocabulary — Amendment 1
ISO 8472-1:2024,Biotechnology — Data interoperability for stem cell data — Part 1: Framework
ISO 16677-1:2025,Biobanking — Germplasm — Part 1: Agricultural animal species
ISO 18162:2024,Biotechnology — Biobanking — Requirements for human neural stem cells derived from pluripotent stem cells
ISO 18209-1:2024,Biotechnology — Biobanking of parasites — Part 1: Helminths
ISO 20397-1:2022,Biotechnology — Massively parallel sequencing — Part 1: Nucleic acid and library preparation
ISO 20397-2:2021,Biotechnology — Massively parallel sequencing — Part 2: Quality evaluation of sequencing data
ISO 20399:2022,Biotechnology — Ancillary materials present during the production of cellular therapeutic products and gene therapy products
ISO 20404:2023,Biotechnology — Bioprocessing — General requirements for the design of packaging to contain cells for therapeutic use
ISO 20688-2:2024,"Biotechnology — Nucleic acid synthesis — Part 2: Requirements for the production and quality control of synthesized gene fragments, genes, and genomes"
ISO 20691:2022,Biotechnology — Requirements for data formatting and description in the life sciences
ISO 21709:2020/Amd 1:2021,"Biotechnology — Biobanking — Process and quality requirements for establishment, maintenance and characterization of mammalian cell lines — Amendment 1"
ISO 21710:2020,Biotechnology — Specification on data management and publication in microbial resource centers
ISO 23033:2021,Biotechnology — Analytical methods — General requirements and considerations for the testing and characterization of cellular therapeutic products
ISO 23040:2021,Marine environment impact assessment (MEIA) — Specification for marine sediments in seabed areas — Survey of interstitial biota
ISO 24088-1:2022,Biotechnology — Biobanking of microorganisms — Part 1: Bacteria and archaea
ISO 24190:2023,Biotechnology — Analytical methods — Risk-based approach for method selection and validation for rapid microbial detection in bioprocesses
ISO 24421:2023,Biotechnology — Minimum requirements for optical signal measurements in photometric methods for biological samples
ISO 24479:2024,Biotechnology — Cellular morphological analysis — General requirements and considerations for cell morphometry to quantify cell morphological features
ISO 24480:2024,Biotechnology — Validation of database used for nucleotide sequence evaluation
ISO 24603:2022,Biotechnology — Biobanking — Requirements for human and mouse pluripotent stem cells
ISO 7704:2023,Water quality — Requirements for the performance testing of membrane filters used for direct enumeration of microorganisms by culture methods
ISO 7899-1:1998/Cor 1:2000,Water quality — Detection and enumeration of intestinal enterococci — Part 1: Miniaturized method (Most Probable Number) for surface and waste water — Technical Corrigendum 1
ISO 9308-1:2014/Amd 1:2016,Water quality — Enumeration of Escherichia coli and coliform bacteria — Part 1: Membrane filtration method for waters with low bacterial background flora — Amendment 1
ISO 9308-3:1998/Cor 1:2000,Water quality — Detection and enumeration of 	Escherichia coli and coliform bacteria — Part 3: Miniaturized method (Most Probable Number) for the detection and enumeration of E. coli in surface and waste water — Technical Corrigendum 1
ISO 11133:2014/Amd 1:2018,"Microbiology of food, animal feed and water — Preparation, production, storage and performance testing of culture media — Amendment 1"
ISO 11133:2014/Amd 2:2020,"Microbiology of food, animal feed and water — Preparation, production, storage and performance testing of culture media — Amendment 2"
ISO 4962:2024,Nanotechnologies — In vitro acute nanoparticle phototoxicity assay
ISO 17200:2020,Nanotechnology — Nanoparticles in powder form — Characteristics and measurements
ISO 19337:2023,Nanotechnologies — Characteristics of working suspensions of nano-objects for in vitro assays to evaluate inherent nano-object toxicity
ISO 19749:2021,Nanotechnologies — Measurements of particle size and shape distributions by scanning electron microscopy
ISO 80004-1:2023,Nanotechnologies – Vocabulary — Part 1: Core vocabulary
ISO 21043-1:2025,Forensic sciences — Part 1: Vocabulary
ISO 21043-3:2025,Forensic sciences — Part 3: Analysis
ISO 21043-4:2025,Forensic sciences — Part 4: Interpretation
ISO 21043-5:2025,Forensic sciences — Part 5: Reporting
ISO 5258:2022,Healthcare organization management — Pandemic response (respiratory) — Drive-through screening station
ISO 5472:2022,Healthcare organization management — Pandemic response (respiratory) — Walk-through screening station
ISO 7101:2023,Healthcare organization management — Management systems for quality in healthcare organizations — Requirements
ISO 22886:2020,Healthcare organization management — Vocabulary
ISO 22956:2021,Healthcare organization management — Requirements for patient-centred staffing
ISO 23447:2023,Healthcare organization management — Hand hygiene performance
ISO 5227:2022,Traditional Chinese medicine — Safety controls for cupping devices
ISO 22213:2020,Traditional Chinese medicine — Glass cupping device
ISO 22466:2021,Traditional Chinese medicine — Laser acupoint devices
ISO 22587:2023,Traditional Chinese medicine — Acupoint magnetotherapy plasters for single use
ISO 24571:2022,Traditional Chinese medicine — General requirements for the basic safety and essential performance of electro-acupuncture stimulators
ISO 6360-1:2004/Cor 1:2007,Dentistry — Number coding system for rotary instruments — Part 1: General characteristics — Technical Corrigendum 1
ISO 6360-2:2004/Amd 1:2011,Dentistry — Number coding system for rotary instruments — Part 2: Shapes — Amendment 1
ISO 23445:2021,Dentistry — Tissue punches
ISO 23940:2021,Dentistry — Excavators
ISO 11135:2014/Amd 1:2018,"Sterilization of health-care products — Ethylene oxide — Requirements for the development, validation and routine control of a sterilization process for medical devices — Amendment 1: Revision of Annex E, Single batch release"
ISO 11137-1:2025,"Sterilization of health care products — Radiation — Part 1: Requirements for the development, validation and routine control of a sterilization process for medical devices"
ISO 11137-2:2013/Amd 1:2022,Sterilization of health care products — Radiation — Part 2: Establishing the sterilization dose — Amendment 1
ISO 11138-8:2021,Sterilization of health care products — Biological indicators — Part 8: Method for validation of a reduced incubation time for a biological indicator
ISO 11139:2018/Amd 1:2024,Sterilization of health care products — Vocabulary of terms used in sterilization and related equipment and process standards — Amendment 1: Amended and additional terms and definitions
ISO 11140-3:2007/Cor 1:2007,Sterilization of health care products — Chemical indicators — Part 3: Class 2 indicator systems for use in the Bowie and Dick-type steam penetration test — Technical Corrigendum 1
ISO 11140-6:2022,Sterilization of health care products — Chemical indicators — Part 6: Type 2 indicators and process challenge devices for use in performance testing of small steam sterilizers
ISO 11737-1:2018/Amd 1:2021,Sterilization of health care products — Microbiological methods — Part 1: Determination of a population of microorganisms on products — Amendment 1
ISO 11737-3:2023,Sterilization of health care products — Microbiological methods — Part 3: Bacterial endotoxin testing
ISO 13004:2022,Sterilization of health care products — Radiation — Substantiation of selected sterilization dose: Method VDmaxSD
ISO 13408-1:2023,Aseptic processing of health care products — Part 1: General requirements
ISO 13408-6:2021,Aseptic processing of health care products — Part 6: Isolator systems
ISO 14160:2020,"Sterilization of health care products — Liquid chemical sterilizing agents for single-use medical devices utilizing animal tissues and their derivatives — Requirements for characterization, development, validation and routine control of a sterilization process for medical devices"
ISO 17664-1:2021,Processing of health care products — Information to be provided by the medical device manufacturer for the processing of medical devices — Part 1: Critical and semi-critical medical devices
ISO 17664-2:2021,Processing of health care products — Information to be provided by the medical device manufacturer for the processing of medical devices — Part 2: Non-critical medical devices
ISO 17665:2024,"Sterilization of health care products — Moist heat — Requirements for the development, validation and routine control of a sterilization process for medical devices"
ISO 18362:2016/Amd 1:2022,Manufacture of cell-based health care products — Control of microbial risks during processing — Amendment 1
ISO 22441:2022,"Sterilization of health care products — Low temperature vaporized hydrogen peroxide — Requirements for the development, validation and routine control of a sterilization process for medical devices"
ISO 25424:2018/Amd 1:2022,"Sterilization of health care products — Low temperature steam and formaldehyde — Requirements for development, validation and routine control of a sterilization process for medical devices — Amendment 1"
ISO 11418-2:2016/Amd 1:2017,Containers and accessories for pharmaceutical preparations — Part 2: Screw-neck glass bottles for syrups — Amendment 1
ISO 11418-3:2016/Amd 1:2017,Containers and accessories for pharmaceutical preparations — Part 3: Screw-neck glass bottles (veral) for solid and liquid dosage forms — Amendment 1
ISO 23416:2023,General specifications and testing methods for temperature-sensitive medicinal packages in good distribution practice principles
ISO 24166-1:2022,Snap-on bottles for metering pumps — Part 1: Tubular glass
ISO 24166-2:2022,Snap-on bottles for metering pumps — Part 2: Moulded glass
ISO 24166-3:2022,Snap-on bottles for metering pumps — Part 3: Plastic
ISO 13315-1:2024,Environmental management for concrete and concrete structures — Part 1: General principles
ISO 13315-2:2025,Environmental management for concrete and concrete structures — Part 2: System boundary and inventory data
